MVS0409.02L DateCode 03/26 SIGMA 100 Measurements per MVS #1
MeasurementNr.,Pulses,Hightime[ms],t_vibration[ms],t_responce[ms],open_before_vibr[bool],open_after_vibr[bool],bad[bool]
48,57,870,204,255,0,0,0
49,66,885,204,258,0,0,0
50,89,886,204,252,0,0,0
51,95,888,204,253,0,1,1
52,86,914,204,254,0,0,0
53,96,768,204,253,0,1,1
54,92,893,204,256,0,1,1
55,57,908,204,247,0,0,0
56,52,915,204,259,0,0,0
57,101,936,204,277,0,0,0
58,58,900,204,261,0,0,0
59,62,894,204,253,0,0,0
60,118,885,204,254,0,1,1
61,72,854,204,255,0,0,0
62,68,881,204,254,0,0,0
63,94,894,204,256,0,1,1
64,104,878,204,255,0,1,1
65,96,901,204,270,0,0,0
66,89,896,204,267,0,1,1
67,77,886,204,263,0,0,0
68,121,893,204,267,0,1,1
69,76,900,204,262,0,0,0
70,61,910,204,254,0,0,0
71,91,891,204,265,0,0,0
72,81,871,204,268,0,1,1
73,81,895,204,259,0,0,0
74,90,894,204,266,0,0,0
75,112,840,204,246,0,1,1
76,61,864,204,265,0,0,0
77,75,894,204,264,0,0,0
78,91,912,204,258,0,0,0
79,94,894,204,268,0,1,1
80,76,881,204,262,0,0,0
81,71,896,204,264,0,0,0
82,112,904,204,255,0,1,1
83,95,924,204,260,0,0,0
84,65,880,204,256,0,0,0
85,74,909,204,257,0,0,0
86,101,881,204,262,0,1,1
87,90,871,204,265,0,0,0
88,112,858,204,269,0,1,1
89,51,891,204,259,0,0,0
90,87,900,204,262,0,0,0
91,67,903,204,257,0,0,0
92,69,879,204,264,0,0,0
93,77,891,204,271,0,0,0
94,96,884,204,255,0,0,0
95,101,900,204,253,0,1,1
96,82,877,204,262,0,0,0
97,59,889,204,264,0,0,0
98,49,880,204,270,0,0,0
99,110,688,204,267,0,1,1
100,113,856,204,240,0,1,1
MVS0409.02L DateCode 03/26 SIGMA 100 Measurements per MVS  #8
MeasurementNr.,Pulses,Hightime[ms],t_vibration[ms],t_responce[ms],open_before_vibr[bool],open_after_vibr[bool],bad[bool]
1,64,792,204,266,0,0,0
2,81,774,204,267,0,0,0
3,62,845,204,253,0,1,1
4,45,795,204,263,0,0,0
5,70,762,204,249,0,0,0
6,55,802,204,258,0,0,0
7,41,817,204,261,0,0,0
8,60,772,204,266,0,0,0
9,44,787,204,265,0,0,0
10,59,790,204,262,0,0,0
11,73,795,204,286,0,0,0
