MVS0724.02 | 100 Measurements per MVS #1
MeasurementNr.,Pulses,Hightime[ms],t_vibration[ms],t_responce[ms],open_before_vibr[bool],open_after_vibr[bool],bad[bool]
44,124,839,204,254,0,0,0
45,135,791,204,254,0,1,1
46,88,842,204,249,0,0,0
47,76,845,204,247,0,1,1
48,118,813,204,251,0,0,0
49,156,821,204,254,0,1,1
50,95,809,204,251,0,1,1
51,58,849,204,263,0,0,0
52,79,827,204,260,0,0,0
53,76,821,204,266,0,0,0
54,83,826,204,255,0,0,0
55,90,869,204,255,0,0,0
56,102,826,204,278,0,1,1
57,98,816,204,261,0,0,0
58,132,792,204,252,0,0,0
59,104,853,204,247,0,1,1
60,67,848,204,261,0,0,0
61,91,833,204,250,0,0,0
62,79,831,204,256,0,0,0
63,105,828,204,255,0,1,1
64,137,823,204,259,0,1,1
65,53,837,204,265,0,0,0
66,113,809,204,253,0,0,0
67,113,817,204,255,0,0,0
68,100,817,204,266,0,0,0
69,145,800,204,260,0,1,1
70,164,810,204,240,0,0,0
71,74,785,204,254,0,1,1
72,55,843,204,258,0,0,0
73,115,807,204,248,0,1,1
74,96,827,204,242,0,1,1
75,82,833,204,252,0,0,0
76,90,856,204,250,0,0,0
77,117,798,204,258,0,1,1
78,143,814,204,243,0,0,0
79,166,793,204,259,0,1,1
80,158,836,204,254,0,1,1
81,67,837,204,255,0,0,0
82,155,821,204,259,0,1,1
83,148,807,204,251,0,1,1
84,69,835,204,245,0,1,1
85,86,832,204,264,0,0,0
86,127,811,204,254,0,0,0
87,130,768,204,246,0,1,1
88,117,828,204,261,0,1,1
89,90,848,204,251,0,0,0
90,100,822,204,254,0,1,1
91,76,839,204,250,0,0,0
92,202,774,204,262,0,1,1
93,67,832,204,262,0,0,0
94,94,833,204,261,0,0,0
95,132,845,204,255,0,0,0
96,121,846,204,250,0,0,0
97,119,853,204,252,0,1,1
98,69,851,204,260,0,1,1
99,73,846,204,250,0,0,0
100,120,833,204,270,0,1,1
MVS0724.02 | 100 Measurements per MVS  #6
MeasurementNr.,Pulses,Hightime[ms],t_vibration[ms],t_responce[ms],open_before_vibr[bool],open_after_vibr[bool],bad[bool]
1,68,749,204,249,0,0,0
2,78,794,204,262,0,1,1
3,76,798,204,260,0,0,0
4,99,777,204,249,0,1,1
5,77,576,204,254,0,1,1
6,72,326,204,252,0,1,1
7,28,49,204,204,1,1,1
8,88,251,204,204,1,1,1
9,96,642,204,254,0,1,1
10,32,356,204,246,0,1,1
11,50,92,204,204,1,1,1
12,73,352,204,204,1,1,1
