MVS0409.02L SIGMA 100 Measurements per MVS | MVS Nr.: 1
MeasurementNr.,Pulses,Hightime[ms],t_vibration[ms],t_responce[ms],open_before_vibr[bool],open_after_vibr[bool],bad[bool]
51,40,493,203,203,1,0,1
52,22,286,203,258,0,1,1
53,27,130,203,203,1,1,1
54,16,249,203,241,0,1,1
55,44,475,203,203,1,0,1
56,9,276,203,265,0,1,1
57,13,9,203,203,1,1,1
58,4,45,203,245,1,1,1
59,40,317,203,203,1,1,1
60,42,657,203,251,0,0,0
61,49,619,203,244,0,1,1
62,17,249,203,240,0,1,1
63,20,487,203,203,1,0,1
64,37,704,203,259,0,0,0
65,6,278,203,258,0,1,1
66,51,152,203,203,1,1,1
67,36,559,203,262,1,0,1
68,44,301,203,241,0,1,1
69,44,447,203,203,1,1,1
70,40,354,203,264,0,1,1
71,18,8,203,203,1,1,1
72,14,46,203,203,1,1,1
73,37,385,203,203,1,0,1
74,17,273,203,267,0,1,1
75,13,13,203,203,1,1,1
76,25,310,203,203,1,0,1
77,21,261,203,249,0,1,1
78,42,454,203,203,1,0,1
79,16,282,203,257,0,1,1
80,40,390,203,203,1,1,1
81,21,284,203,266,0,1,1
82,14,322,203,203,1,0,1
83,39,283,203,250,0,1,1
84,36,77,203,203,1,1,1
85,34,58,203,203,1,1,1
86,32,185,203,203,1,1,1
87,2,0,203,203,1,1,1
88,30,336,203,203,1,1,1
89,37,419,203,250,0,1,1
90,20,614,203,265,0,1,1
91,46,351,203,251,0,1,1
92,40,306,203,203,1,1,1
93,36,663,203,256,0,1,1
94,30,287,203,249,0,1,1
95,12,97,203,248,1,1,1
96,25,467,203,203,1,0,1
97,36,708,203,259,0,1,1
98,14,316,203,274,0,1,1
99,29,311,203,203,1,0,1
100,48,355,203,242,0,1,1
MVS0409.02L SIGMA 100 Measurements per MVS | MVS Nr.: 6
MeasurementNr.,Pulses,Hightime[ms],t_vibration[ms],t_responce[ms],open_before_vibr[bool],open_after_vibr[bool],bad[bool]
1,93,822,203,247,0,0,0
2,73,845,203,261,0,0,0
3,93,815,203,257,0,0,0
4,81,846,203,262,0,0,0
5,77,790,203,262,0,1,1
6,100,843,203,261,0,0,0
7,62,824,203,245,0,0,0
8,83,829,203,263,0,0,0
9,59,804,203,260,0,0,0
10,85,805,203,262,0,0,0
11,114,829,203,262,0,1,1
12,79,874,203,271,0,1,1
13,95,855,203,255,0,0,0
14,75,845,203,254,0,0,0
15,77,832,203,247,0,0,0
16,107,828,203,251,0,0,0
17,112,778,203,248,0,0,0
18,76,844,203,238,0,0,0
19,68,877,203,275,0,0,0
20,57,872,203,255,0,0,0
21,62,816,203,262,0,0,0
22,75,878,203,259,0,0,0
23,54,865,203,262,0,0,0
24,68,886,203,299,0,1,1
25,110,834,203,251,0,1,1
26,155,823,203,243,0,1,1
27,108,837,203,264,0,0,0
28,140,786,203,256,0,0,0
29,119,852,203,264,0,1,1
30,81,850,203,253,0,0,0
31,80,786,203,261,0,1,1
32,69,815,203,253,0,0,0
33,76,818,203,267,0,0,0
34,67,873,203,268,0,0,0
35,106,814,203,277,0,1,1
36,118,796,203,262,0,1,1
37,98,805,203,257,0,0,0
38,70,795,203,266,0,0,0
39,56,848,203,264,0,0,0
40,62,851,203,257,0,0,0
41,104,837,203,258,0,1,1
42,79,823,203,256,0,1,1
43,84,841,203,254,0,0,0
44,100,831,203,260,0,0,0
45,71,848,203,262,0,0,0
46,88,800,203,266,0,0,0
47,73,865,203,255,0,0,0
48,82,818,203,264,0,0,0
49,71,828,203,255,0,0,0
50,75,853,203,262,0,0,0
51,148,796,203,252,0,1,1
52,93,866,203,251,0,0,0
53,126,832,203,253,0,0,0
54,70,843,203,258,0,0,0
55,67,858,203,252,0,0,0
56,110,810,203,259,0,0,0
57,102,833,203,270,0,0,0
58,108,833,203,253,0,0,0
59,85,855,203,255,0,0,0
60,91,852,203,259,0,0,0
61,121,801,203,270,0,1,1
62,89,838,203,264,0,0,0
63,94,842,203,290,0,1,1
64,89,862,203,239,0,0,0
65,96,835,203,268,0,1,1
66,95,839,203,260,0,0,0
67,96,851,203,274,0,0,0
68,83,848,203,270,0,0,0
69,112,779,203,253,0,1,1
70,92,814,203,239,0,1,1
71,76,825,203,248,0,0,0
72,54,879,203,265,0,0,0
73,61,835,203,260,0,0,0
74,82,845,203,253,0,0,0
75,111,821,203,258,0,0,0
76,68,827,203,242,0,0,0
77,72,844,203,251,0,0,0
78,101,829,203,255,0,0,0
79,91,803,203,242,0,1,1
80,100,813,203,261,0,1,1
81,83,814,203,258,0,0,0
82,75,828,203,258,0,1,1
83,94,795,203,262,0,0,0
84,111,784,203,253,0,1,1
85,118,799,203,260,0,1,1
86,85,808,203,256,0,1,1
87,94,784,203,268,0,0,0
88,57,818,203,257,0,0,0
89,61,821,203,252,0,0,0
90,88,808,203,248,0,0,0
91,61,804,203,282,0,0,0
92,83,854,203,252,0,0,0
93,83,843,203,255,0,1,1
94,74,860,203,254,0,0,0
95,58,906,203,242,0,0,0
96,81,816,203,253,0,1,1
97,120,851,203,270,0,1,1
98,126,795,203,267,0,1,1
99,83,749,203,265,0,1,1
100,116,812,203,267,0,1,1
MVS0409.02L SIGMA 100 Measurements per MVS | MVS Nr.: 7
MeasurementNr.,Pulses,Hightime[ms],t_vibration[ms],t_responce[ms],open_before_vibr[bool],open_after_vibr[bool],bad[bool]
1,135,760,203,256,0,1,1
2,139,792,203,252,0,1,1
3,70,779,203,248,0,0,0
4,81,731,203,252,0,0,0
5,87,684,203,258,0,1,1
6,96,731,203,251,0,0,0
7,93,784,203,242,0,1,1
8,75,775,203,255,0,0,0
9,76,761,203,256,0,0,0
10,112,768,203,251,0,1,1
11,110,726,203,251,1,1,1
12,104,716,203,249,0,1,1
13,106,734,203,252,0,1,1
14,109,724,203,238,0,1,1
15,41,734,203,247,0,0,0
16,115,704,203,258,0,0,0
17,115,705,203,245,0,0,0
18,90,716,203,244,0,1,1
19,69,732,203,256,0,0,0
20,86,763,203,260,0,0,0
21,119,371,203,260,0,1,1
22,87,489,203,203,1,0,1
23,150,727,203,256,0,1,1
24,102,785,203,245,0,1,1
25,90,807,203,247,0,0,0
26,97,811,203,274,0,0,0
27,91,838,203,253,0,0,0
28,185,705,203,255,0,1,1
29,98,786,203,256,0,0,0
30,127,730,203,258,0,0,0
31,81,715,203,250,0,0,0
32,84,723,203,254,0,0,0
33,93,720,203,256,0,0,0
34,81,741,203,256,0,0,0
35,117,713,203,255,0,1,1
36,85,504,203,238,0,1,1
37,122,720,203,234,0,0,0
38,115,719,203,245,0,0,0
39,83,732,203,256,0,0,0
40,64,729,203,253,0,1,1
41,117,711,203,264,0,1,1
42,110,735,203,251,0,0,0
43,61,752,203,258,0,0,0
44,69,711,203,262,0,0,0
45,58,691,203,258,0,0,0
46,69,698,203,255,0,0,0
47,83,752,203,251,0,0,0
48,87,729,203,274,0,0,0
49,82,736,203,262,0,0,0
50,87,763,203,271,0,1,1
51,86,756,203,253,0,0,0
52,85,777,203,259,0,1,1
53,92,597,203,264,0,1,1
54,126,683,203,255,0,0,0
55,84,721,203,257,0,1,1
56,90,695,203,270,0,1,1
57,92,739,203,238,0,0,0
58,88,706,203,255,0,0,0
59,77,750,203,275,0,0,0
60,98,717,203,254,0,0,0
61,93,774,203,273,0,0,0
62,80,722,203,261,0,0,0
63,64,697,203,256,0,0,0
64,73,673,203,258,0,0,0
65,63,705,203,255,0,0,0
66,65,702,203,256,0,0,0
67,68,670,203,248,0,1,1
68,110,704,203,269,0,1,1
69,91,725,203,271,0,0,0
70,51,798,203,268,0,0,0
71,117,729,203,267,0,1,1
72,68,773,203,265,0,0,0
73,83,767,203,265,0,0,0
74,64,744,203,274,0,0,0
75,68,716,203,260,0,1,1
76,98,728,203,246,0,0,0
